date,price,sqft_lot,sqft_living,grade,lat,long,yr_built,yr_renovated
20150428,450000,5963,1250,7,47.6796,-122.301,1953,0
20150311,1350000,65005,2753,9,47.4041,-122.451,1953,0
20140916,228000,9199,1190,7,47.4258,-122.322,1955,0
20150217,345000,9134,3150,8,47.4934,-122.189,1966,0
20141231,600000,4080,1410,7,47.6808,-122.384,1950,0
20150205,585000,8550,1980,7,47.6989,-122.369,1981,0
20150303,920000,6000,2730,8,47.6571,-122.281,1927,0
20140512,885000,5000,2830,9,47.6597,-122.29,1995,0
20140819,292500,4495,2250,7,47.3663,-122.114,2008,0
20150407,301000,4750,2420,8,47.3663,-122.122,2003,0
20140827,951000,14342,3250,8,47.588,-122.116,1968,0
20150223,430000,9976,1850,8,47.5059,-122.149,1991,0
20141210,650000,21235,2150,8,47.4336,-122.339,1959,0
20140828,289000,8400,1260,7,47.4366,-122.335,1954,0
20141021,505000,8690,2519,8,47.4428,-122.344,1973,0
20141207,549000,1044,1540,8,47.6765,-122.32,2014,0
20140603,425000,6000,1660,7,47.6113,-122.297,1979,0
20141120,317625,3809,2770,7,47.5747,-122.304,1925,0
20140909,975000,11049,2720,10,47.5815,-122.192,1989,0
20141009,287000,4648,2240,7,47.3378,-122.257,2005,0
20140825,204000,12070,1000,7,47.3621,-122.11,1968,0
20140612,1325000,20158,3200,8,47.6303,-122.215,1965,0
20140912,1040000,50094,4770,11,47.6525,-122.16,1973,0
20150105,325000,5612,1260,7,47.7362,-122.179,1972,0
20140610,571000,7807,2750,7,47.7168,-122.287,1916,0
20140710,360000,5000,2380,8,47.3608,-122.036,2005,0
20150316,349000,50529,1790,7,47.3511,-122.073,1965,0
20141105,832500,35102,3430,10,47.5822,-121.987,1986,0
20141013,380000,7300,1760,7,47.6034,-122.125,1956,0
20150420,480000,5060,1040,7,47.5636,-122.394,1941,0
20140609,410000,5060,1410,7,47.7073,-122.34,1956,0
20150323,720000,39683,3450,10,47.342,-122.025,2002,0
20141202,390000,5100,2350,8,47.3512,-122.008,2003,0
20141222,360000,5889,1900,7,47.349,-122.031,1992,0
20141028,355000,6720,2020,7,47.5474,-122.291,1948,0
20150128,356000,8712,1680,8,47.4811,-122.149,1964,0
20140602,315000,6634,960,6,47.7264,-122.31,1952,0
20141114,940000,3600,2140,9,47.6337,-122.365,1925,0
20141103,305000,8400,2660,7,47.2909,-122.189,1961,0
20140618,461000,6278,2770,9,47.5228,-122.199,2006,0
20140519,215000,2040,1610,7,47.518,-122.194,1979,0
20140904,335000,1066,1030,7,47.5394,-122.387,2006,0
20140522,243500,7403,1980,7,47.2897,-122.372,1988,0
20150311,1099880,6353,3520,10,47.6506,-122.391,2001,0
20150226,153000,10500,1200,7,47.322,-122.351,1962,0
20140725,430000,5000,1580,8,47.687,-122.386,1939,0
20141223,700000,5000,1580,8,47.687,-122.386,1939,0
20140908,905000,10250,3300,7,47.5873,-122.249,1946,1991
20150330,247500,15681,1960,7,47.3576,-122.277,1967,0
20140912,199000,6400,1160,7,47.3036,-122.378,1975,0
20140711,314000,41800,1810,7,47.4109,-121.958,1980,0
20140516,437500,36847,2320,9,47.4838,-121.714,1992,0
20140611,850830,13241,2070,9,47.6415,-122.315,1910,0
20141027,555000,3478,1980,7,47.6775,-122.372,1929,0
20141212,699950,107593,2190,8,47.7731,-122.08,1983,0
20141007,1088000,8113,2920,8,47.5814,-122.196,1950,2010
20140924,290000,33919,1210,7,47.4375,-122.184,1954,0
20150402,375000,10005,2340,8,47.4431,-122.133,1978,0
20140523,460000,4005,1670,7,47.6878,-122.38,1939,0
20140723,188500,2493,1240,8,47.3813,-122.322,1985,0
20150305,680000,28037,3140,10,47.7304,-122.082,1991,0
20140827,470000,12342,2030,7,47.6417,-122.109,1942,0
20140725,597750,9624,2310,8,47.5386,-122.053,1984,0
20150304,570000,3328,1260,6,47.6823,-122.349,1905,0
20140916,272500,12600,1540,7,47.3624,-122.031,1980,0
20141124,329950,5969,2080,7,47.5474,-122.295,1971,0
20141028,480000,16171,3230,9,47.3183,-122.253,2001,0
20141121,740500,6350,4380,8,47.6981,-122.368,1900,1999
20140626,518500,1102,1590,8,47.6824,-122.347,2010,0
20140623,205425,6780,880,6,47.5009,-122.248,1945,0
20150108,171800,9600,1570,6,47.4965,-122.303,1950,0
20150511,535000,2982,1610,7,47.587,-122.294,1925,0
20150102,660000,6474,2400,8,47.7728,-122.386,1964,0
20141119,391500,9132,1450,7,47.7288,-122.226,1987,0
20150406,395000,6000,770,6,47.6999,-122.364,1953,0
20141104,445000,4400,2100,7,47.5299,-122.266,1924,0
20140618,770000,10204,2910,9,47.6897,-122.098,1990,0
20150302,1450000,17789,2750,8,47.6141,-122.212,1914,1992
20140717,445000,8201,2100,8,47.5091,-122.244,1967,0
20140717,260000,8811,2160,8,47.3129,-122.39,1978,0
20140613,822500,4960,2320,7,47.6763,-122.352,1926,0
20150406,430000,4310,2070,7,47.5319,-121.85,2004,0
20150105,212000,7875,1060,7,47.2761,-122.152,1986,0
20150428,660500,9603,2010,8,47.5343,-122.054,1986,0
20140612,784000,111078,3950,9,47.697,-122.072,1989,0
20140512,453246,2287,2010,8,47.5517,-121.998,2014,0
20150126,675000,2278,2140,9,47.6734,-122.38,2005,0
20140813,199000,17390,1320,7,47.3257,-122.296,1956,0
20140805,220000,7840,2020,7,47.3309,-122.299,1968,0
20140529,452000,10002,2590,8,47.7689,-122.266,1968,0
20140707,382500,4440,1190,6,47.7135,-122.287,1981,0
20140507,519950,1249,1170,8,47.6722,-122.381,2014,0
20140627,665000,3200,1110,7,47.6338,-122.358,1925,0
20140708,527700,9375,2820,8,47.5707,-122.128,1968,0
20150508,205000,8579,1610,7,47.4563,-122.171,1962,0
20150415,420000,8097,1060,7,47.7144,-122.351,1923,0
20150227,500000,8517,2030,8,47.5495,-122.174,1961,0
20141203,921500,315374,3670,9,47.7421,-122.026,1994,0
20140625,890000,4000,2550,8,47.6354,-122.353,1905,0
20140806,430000,60984,2420,7,47.5262,-121.943,2007,0
20141030,258000,12500,2260,8,47.3887,-122.286,1960,0
20141104,511000,3455,1430,7,47.6873,-122.336,1947,0
20140820,532170,3090,1360,8,47.6838,-122.353,1990,0
20150409,560000,5000,1110,7,47.655,-122.359,1947,0
20150331,282950,8200,1250,7,47.3255,-122.304,1954,0
20150401,2250000,19850,5180,12,47.562,-122.162,2006,0
20140516,350000,5100,700,7,47.679,-122.3,1942,0
20140728,215000,7669,1180,7,47.4479,-122.176,1967,0
20141120,650000,25245,3960,9,47.525,-122.172,1996,0
20140807,320000,7500,2640,8,47.3135,-122.369,1967,0
20141113,247000,7198,1270,7,47.2086,-121.996,1916,2013
20141003,320000,11180,1760,8,47.4715,-122.118,1968,0
20140507,255000,8632,2060,7,47.4877,-122.335,1962,0
20150309,438000,9660,1780,7,47.7171,-122.193,1962,0
20150304,900000,16603,3400,10,47.6012,-122.023,2000,0
20140620,441000,7280,1910,7,47.7319,-122.224,1979,0
20140812,420000,38332,2020,7,47.4582,-122.023,1975,0
20141208,370000,7000,1580,7,47.7209,-122.168,1976,0
20150219,269950,7250,1340,5,47.408,-122.327,1949,0
20150324,807100,4499,2680,9,47.565,-122.125,1999,0
20140605,653000,9750,2680,8,47.7028,-122.231,1979,0
20140611,371500,8336,1370,7,47.7458,-122.331,1964,0
20150316,284000,21000,1560,7,47.4776,-122.337,1954,0
20150102,272000,7140,2160,7,47.3026,-122.374,1978,0
20140502,313000,7912,1340,7,47.7658,-122.339,1955,0
20150116,917500,35003,3880,10,47.6477,-122.182,1984,0
20140929,673000,8190,2590,8,47.5619,-122.125,1980,0
20150210,425000,1100,1120,8,47.6106,-122.31,2008,0
20140709,399950,5400,1970,7,47.5868,-122.308,1986,0
20140530,385000,4800,1220,6,47.6101,-122.307,1901,0
20141117,269950,7560,1950,7,47.1976,-121.999,1975,0
20150107,330000,8220,1350,7,47.7224,-122.358,1949,0
20140725,260000,5797,1670,7,47.3505,-122.179,1988,0
20150414,470000,5125,2380,7,47.5384,-122.376,1925,0
20140613,589000,9600,2440,7,47.7044,-122.2,1961,0
20140723,163500,3419,1050,7,47.3848,-122.039,1996,0
20140905,835000,13412,3130,9,47.6993,-122.102,1993,0
20141121,1095000,12850,4090,10,47.6627,-122.188,1986,0
20150415,269000,10000,1490,8,47.3099,-122.379,1969,0
20140505,560000,8744,1900,8,47.62,-122.043,1987,0
20150418,615000,2400,1330,6,47.65,-122.34,1901,0
20141205,585188,10026,2230,8,47.6647,-122.153,1975,0
20140818,305000,9480,1650,7,47.726,-122.191,1977,0
20141105,166950,8820,1190,6,47.4616,-122.184,1959,0
20140912,799000,9897,2140,8,47.5505,-122.219,1959,0
20140625,400000,7508,2180,7,47.7606,-122.336,1962,0
20141201,230000,10228,1060,7,47.7481,-122.3,1948,0
20140515,256883,5025,1690,8,47.2779,-122.347,2003,0
20141111,423000,6480,1970,7,47.5511,-122.312,1920,0
20140723,465000,4084,2150,8,47.5488,-122.372,2007,0
20150113,440000,66211,1910,7,47.5385,-121.911,1997,0
20141014,385000,155073,1350,7,47.4058,-121.994,1969,0
20150311,210000,11725,860,6,47.5093,-122.184,1943,0
20141112,297000,14952,1940,8,47.3777,-122.165,1994,0
20140716,470000,5000,1010,7,47.675,-122.394,1952,0
20140804,226500,7370,1300,7,47.3025,-122.37,1976,0
20150303,274250,8450,910,6,47.4787,-122.158,1962,0
20140804,840000,11010,2480,9,47.5378,-122.219,1966,0
20140919,677900,4587,2440,8,47.7073,-122.114,2010,0
20150205,425000,5864,1010,7,47.5733,-122.381,1915,0
20141123,180250,9600,900,6,47.4604,-122.339,1941,0
20140717,464000,3404,2300,7,47.7067,-122.343,1920,1994
20150422,320000,7579,1550,8,47.354,-122.047,1993,0
20140717,625504,1566,1270,8,47.6647,-122.284,2014,0
20140515,592500,12032,2240,9,47.6143,-122.017,1983,0
20150114,465000,17936,2714,9,47.3185,-122.275,2005,0
20140527,477000,6270,1720,8,47.5458,-122.268,1978,0
20150115,280000,16400,850,6,47.4889,-122.299,1923,0
20150221,1505000,33474,3300,9,47.5673,-122.21,1957,1991
20140703,445838,5692,2250,8,47.5133,-122.379,2000,0
20140828,1072000,14864,3900,8,47.5884,-122.291,1947,0
20141023,467000,10800,1320,8,47.7145,-122.367,1947,0
20140822,686000,6440,2760,10,47.5836,-122.026,1999,0
20140605,279950,9750,1750,7,47.398,-122.299,1961,0
20140904,527000,19436,2330,8,47.7663,-122.215,1987,0
20140918,325000,16020,2220,8,47.3758,-122.217,1966,0
20140903,328000,8379,2020,7,47.3828,-122.023,1994,0
20140604,390000,7500,1250,7,47.5123,-122.373,1942,0
20150309,479950,6516,1510,8,47.7076,-122.013,2005,0
20140529,264950,9753,1720,7,47.2922,-122.371,1978,0
20150115,235000,15246,1430,7,47.4075,-122.214,1961,0
20150303,516500,4729,1480,7,47.6794,-122.034,2004,0
20150413,655000,15798,1450,7,47.4497,-122.375,1915,1978
20140616,500000,15347,2280,7,47.5218,-122.164,1960,0
20141121,315000,7350,2940,8,47.3103,-122.339,1978,0
20141120,213000,10200,1000,6,47.5687,-121.899,1961,0
20140902,475000,5280,2480,7,47.5575,-122.303,1947,0
20140610,1025000,28040,3760,10,47.6489,-122.183,1983,0
20150409,416000,94300,2220,7,47.3459,-121.95,1976,0
20150320,410000,4740,1970,7,47.6136,-122.303,1904,2005
20140701,800000,221284,3830,10,47.7641,-122.023,1993,0
20140529,472000,14034,4410,9,47.3376,-122.324,1965,0
20141208,225000,8505,1430,7,47.3173,-122.319,1968,0
20141001,210000,6000,830,6,47.5308,-122.376,1940,0
20150127,455000,5000,1430,7,47.6727,-122.299,1925,0
20150427,225000,8316,1300,6,47.3221,-122.216,1954,0
20140826,480000,3060,1030,7,47.6779,-122.353,1918,0
20150212,363000,11872,2740,9,47.3076,-122.395,1990,0
20140929,2400000,8354,3650,9,47.6338,-122.072,2000,0
20150226,181000,5120,720,6,47.5218,-122.357,1954,0
20150314,250000,7312,2010,7,47.2785,-122.213,1976,0
20150422,481000,3000,1560,6,47.6846,-122.345,1918,0
20140923,260000,7209,1810,7,47.3656,-122.278,1978,0
20140513,455000,7685,3360,9,47.4369,-122.111,2001,0
20150401,415000,36224,1510,8,47.4616,-121.711,1991,0
20150421,349500,3538,1400,7,47.5405,-122.27,1953,0
20140929,245000,7442,1730,7,47.3507,-122.178,1987,0
20140519,592500,9191,1420,7,47.6979,-122.32,1928,0
20141020,385000,7620,2360,7,47.5278,-122.345,1955,0
20150211,315000,11455,1580,7,47.4756,-122.147,1974,0
20141124,255000,10170,1230,7,47.4437,-121.772,1979,0
20140829,693000,4425,2460,8,47.7048,-122.109,2006,0
20141202,780000,4400,1660,8,47.6362,-122.302,1911,0
20141024,237000,8470,1270,7,47.4207,-122.29,1960,0
20141216,525000,40510,2100,10,47.6154,-122.047,1979,0
20150428,425000,5040,770,5,47.5964,-122.299,1930,0
20141027,369900,10079,760,5,47.4683,-122.438,1936,0
20140519,290000,7280,1700,7,47.4045,-122.171,1988,0
20140929,285000,10701,1120,7,47.5544,-122.358,1954,0
20140814,415000,4500,1070,7,47.6802,-122.29,1937,0
20150409,272500,9900,2070,8,47.2988,-122.371,1979,0
20150504,2900000,20100,5050,11,47.6312,-122.223,1982,2008
20141007,1365000,57346,5310,11,47.7285,-122.042,1989,0
20150501,436000,7538,1040,7,47.7107,-122.352,1939,0
20141017,210000,11390,1700,7,47.3271,-122.323,1967,0
20140925,236000,5898,1300,7,47.5053,-122.255,1961,0
20141124,331000,1306,1080,7,47.6601,-122.4,1954,2003
20150320,365000,4510,2653,8,47.4145,-122.166,2006,0
20150127,450000,16258,2290,8,47.4672,-122.165,1960,0
20141113,770000,26300,3820,9,47.7618,-122.261,2014,0
20150505,455000,49375,2210,8,47.3828,-122.071,1997,0
20150505,405000,6000,2390,6,47.5362,-122.268,1908,0
20140703,304900,11325,2600,7,47.3954,-122.206,1969,0
20150227,170000,5265,860,6,47.5048,-122.272,1931,0
20150513,2050000,8480,3830,9,47.6166,-122.287,1905,1994
20140630,780000,7048,3500,9,47.6811,-122.025,2005,0
20150410,330000,13959,2420,8,47.7486,-122.23,1988,0
20140905,370000,8666,2720,9,47.3846,-122.169,1992,0
20141017,467000,13500,2500,7,47.7564,-122.144,1979,0
20150209,405000,6720,1670,7,47.7198,-122.193,1980,0
20140702,675000,10300,2900,8,47.5461,-122.151,1985,0
20140812,500000,14100,1640,7,47.5712,-122.143,1954,0
20140723,389999,15770,1890,7,47.4281,-122.343,1968,0
20150224,630000,9025,2950,8,47.7128,-122.223,1975,0
20141022,360000,9528,2160,9,47.3341,-122.255,1992,0
20141002,580000,11060,3280,8,47.5399,-122.181,1986,0
20140709,550000,4166,1970,8,47.5717,-122.375,1929,0
20140710,879000,22111,3360,10,47.5951,-122.017,1994,0
20140822,265000,8959,1320,7,47.3536,-122.144,1993,0
20150304,446500,7286,2650,8,47.5084,-122.154,1990,0
20140602,404000,8880,2030,7,47.5586,-122.311,1963,0
20140529,267500,11914,1590,7,47.4427,-122.274,1957,0
20140624,3075000,18641,4550,10,47.6053,-122.077,2002,0
20140811,335000,7632,2440,8,47.3494,-122.301,1998,0
20140619,576000,9000,1940,7,47.6933,-122.393,1948,0
20150401,208633,3810,2040,8,47.3537,-122,2006,0
20150115,315000,8750,2200,7,47.476,-122.337,1964,0
20150217,725000,3300,1920,8,47.6239,-122.298,1913,0
20150403,550000,7750,1800,8,47.7776,-122.384,1965,0
20140612,610750,7297,2180,8,47.6459,-122.058,1984,0
20150228,550700,5000,1010,6,47.6692,-122.297,1908,0
20150108,665000,10574,3320,8,47.5376,-122.18,1960,0
20150209,834000,4000,2370,8,47.601,-122.294,1928,0
20141023,201000,78408,1660,6,47.529,-121.837,1915,0
20140502,2384000,9050,3650,10,47.6345,-122.367,1921,0
20140618,1384000,12103,4290,11,47.5503,-122.102,1997,0
20141209,1400000,12103,4290,11,47.5503,-122.102,1997,0
20141105,305000,7700,1950,8,47.4441,-122.125,1979,0
20150408,487000,14052,2590,8,47.7357,-122.333,1948,0
20150511,390000,64904,1930,8,47.346,-122.157,1988,0
20140723,548000,3864,1470,7,47.6638,-122.345,1916,0
20141122,268750,8775,800,6,47.48,-122.336,1943,0
20140513,819900,7119,3150,9,47.6759,-122.151,2013,0
20141023,520000,16200,2030,8,47.5162,-122.057,1984,0
20140721,230000,11204,1450,7,47.2639,-122.252,2003,0
20150202,240000,10248,1510,7,47.2929,-122.371,1969,0
20140905,232000,12092,1240,6,47.4957,-122.352,1922,1984
20150311,240500,12092,1240,6,47.4957,-122.352,1922,1984
20141027,274975,45004,3030,9,47.7721,-122.093,1987,0
20140905,740000,4400,2050,9,47.644,-122.319,1922,0
20150428,186375,7636,1000,7,47.472,-122.344,1952,0
20140725,790000,10289,2370,9,47.592,-122.166,1977,0
20140916,880000,6750,2800,9,47.669,-122.275,1951,2002
20150416,279000,11180,2240,7,47.42,-122.323,1955,0
20140729,295000,10530,1810,8,47.1913,-122.012,1991,0
20150408,640000,5000,1070,7,47.6666,-122.331,1924,0
20140703,940000,9525,2490,9,47.5639,-122.217,1968,0
20141007,260000,5238,1960,7,47.3483,-122.052,2003,0
20140602,559900,5569,2930,9,47.7648,-122.164,2004,0
20140722,791500,3500,1510,7,47.6794,-122.357,1911,0
20140826,265000,8250,1420,7,47.7535,-122.354,1954,0
20150501,245000,11547,1740,7,47.4945,-122.22,1954,0
20150424,485000,43995,2560,7,47.6945,-122.093,1962,0
20141106,684000,8414,3040,9,47.5222,-122.157,2010,0
20140909,425000,6840,2500,8,47.7222,-122.32,1957,0
20141017,309600,20000,1275,6,47.3796,-122.49,1991,0
20140718,552250,5823,2580,8,47.5374,-121.875,2002,0
20140723,165000,7134,1000,6,47.4897,-122.24,1943,0
20141229,239900,7134,1000,6,47.4897,-122.24,1943,0
20141205,320000,32633,1070,6,47.4716,-122.078,1930,0
20141021,206600,13464,1390,7,47.3581,-122.173,1987,0
20150416,387000,7690,2500,7,47.7713,-122.307,1973,0
20140604,299000,12120,560,4,47.675,-121.854,1967,0
20140922,855000,10460,2270,9,47.5603,-122.222,1965,0
20150126,315000,14400,1900,7,47.4147,-122.337,1954,0
20141203,437500,3120,990,7,47.68,-122.353,1907,0
20150324,252000,19800,1550,7,47.3117,-122.27,1969,0
20140604,375000,7475,2200,7,47.543,-122.28,1955,0
20140806,300000,4862,1910,7,47.3607,-122.034,2005,0
20141006,420000,9600,1750,7,47.5759,-122.137,1954,0
20140505,900000,77972,1330,7,47.6891,-122.159,1928,1954
20140805,679900,5750,2440,9,47.565,-122.381,2000,0
20140605,463000,29970,1640,7,47.6359,-121.974,1992,0
20140828,380000,11340,2760,9,47.4769,-122.141,1978,0
20141210,329500,7912,1820,7,47.3845,-122.029,1994,0
20140819,604950,5608,2110,8,47.6743,-122.184,2013,0
20140917,795000,9570,3040,8,47.5651,-122.164,1966,0
20150130,465000,40438,1840,7,47.4853,-121.709,1994,0
20150326,673000,10400,2990,9,47.4508,-122.359,2002,0
20141001,810000,15420,3520,10,47.6375,-122.016,1991,0
20150423,785000,69415,2440,8,47.5944,-122.042,1989,0
20141120,338000,7500,2090,7,47.4888,-122.182,1986,0
20141204,280000,7222,1430,7,47.5112,-122.19,1993,0
20141001,315000,10754,2180,7,47.7711,-122.341,1954,0
20150324,530000,10754,2180,7,47.7711,-122.341,1954,0
20141223,380000,9914,3450,9,47.2813,-122.345,2004,0
20140811,297000,7562,1450,7,47.5038,-122.189,1994,0
20140520,730000,7331,3230,10,47.5823,-121.97,2004,0
20140609,450000,13500,1640,7,47.7164,-122.304,1940,0
20141027,275000,7750,1590,7,47.3624,-122.045,1997,0
20150429,595000,2849,2020,7,47.6831,-122.329,1960,0
20150421,435000,3348,1300,7,47.592,-122.307,1904,2014
20140916,270000,209959,1380,6,47.7461,-122.195,1954,0
20140805,950000,14338,4040,10,47.7268,-122.06,1986,0
20150313,389000,5337,2130,7,47.7237,-121.959,2001,0
20150121,560000,7800,2550,8,47.6283,-122.095,1968,0
20140728,1350000,14984,4800,11,47.5543,-122.148,1998,0
20141111,799000,11585,2510,8,47.5483,-122.226,1969,0
20140625,365500,9600,1410,7,47.7591,-122.146,1983,0
20140515,252350,7352,1650,7,47.4612,-122.169,1979,0
20140905,403950,13780,2120,8,47.4987,-122.365,1993,0
20140801,385000,10726,2040,7,47.772,-122.358,1954,0
20141210,345000,7620,1550,7,47.5287,-122.35,1957,0
20140917,490000,3128,1980,9,47.6109,-122.114,1979,0
20140618,330000,26977,1600,8,47.7736,-121.901,2005,0
20140512,927000,12090,3300,8,47.6294,-122.218,1953,0
20140728,1118000,16619,3840,10,47.5634,-122.213,1983,0
20150430,330000,10000,1220,7,47.7405,-122.241,1950,0
20150309,530000,8800,2720,7,47.5976,-122.118,1958,0
20140623,365000,25600,1940,8,47.5722,-122.129,1962,0
20140619,378750,3000,2160,7,47.5644,-122.289,1909,2011
20140619,269900,8750,1530,7,47.4556,-122.157,1968,0
20150306,557000,2096,1710,8,47.6055,-122.305,2008,0
20140825,360000,16980,3730,7,47.1775,-122.022,1974,0
20150422,352000,5000,940,7,47.6879,-122.385,1937,0
20150224,437000,22357,1750,8,47.4807,-121.779,1994,0
20140618,322500,6753,1820,7,47.3845,-122.032,1994,0
20140912,650000,2000,1510,9,47.5815,-122.402,2001,0
20140806,450000,1213,1290,8,47.6609,-122.344,2001,0
20150417,278500,5250,1570,7,47.3163,-122.188,1998,0
20150427,364950,6957,1930,8,47.4309,-122.191,1995,0
20140911,840000,40139,2840,10,47.401,-122.026,1986,0
20150318,268000,8134,1550,7,47.404,-122.191,1991,0
20140716,517534,143947,833,5,47.3889,-122.482,2006,0
20141104,632925,32239,2990,8,47.7718,-122.095,1978,0
20140723,577500,7251,2000,9,47.7067,-122.2,1995,0
20150212,339000,7480,2390,7,47.504,-122.227,1920,0
20140909,570000,37461,2910,7,47.7015,-122.164,1967,0
20140626,563500,174240,2085,7,47.5753,-121.95,1964,0
20150105,423000,9351,2200,7,47.7448,-122.333,1962,0
20141223,355000,5028,1860,8,47.7318,-121.982,2012,0
20140710,1550000,171626,6070,12,47.5954,-121.95,1999,0
20141203,482000,3960,950,7,47.6885,-122.337,1941,0
20140730,625000,9135,1600,7,47.5724,-122.179,1955,0
20141219,538000,11632,2250,8,47.5272,-122.169,1988,0
20150107,380000,10255,2280,8,47.4334,-122.161,1985,0
20140717,375000,5120,940,7,47.6073,-122.308,1909,0
20150403,245000,8500,1530,7,47.3592,-122.046,1996,0
20141114,310000,27260,2190,7,47.4546,-122.337,1947,1974
20150225,1300000,15021,2350,8,47.6408,-122.219,1976,0
20140506,397000,7680,1440,7,47.7245,-122.2,1971,0
20150512,365000,4052,2200,8,47.4362,-122.178,2005,0
20141028,328500,8250,2290,9,47.3739,-122.156,1990,0
20140908,988000,19700,4040,11,47.7205,-122.127,1987,0
20140722,1000000,3277,2610,8,47.6636,-122.33,1922,0
20140903,237000,2138,1490,7,47.4324,-122.197,2005,0
20140919,525000,5280,2450,8,47.7734,-122.224,2003,0
20140916,749000,9627,1710,9,47.559,-122.164,1976,2014
20140821,722500,11800,4870,10,47.633,-122.041,1983,0
20150312,843000,8750,3130,10,47.6954,-122.103,1991,0
20140708,438000,1372,1270,8,47.6776,-122.318,2000,0
20140916,578000,10875,2120,8,47.504,-122.382,1977,0
20140923,227950,8230,1670,7,47.2613,-122.255,1954,0
20140722,196000,11576,2070,7,47.3417,-122.271,1974,0
20140715,641000,5332,1420,8,47.6694,-122.275,1953,0
20150422,350000,219978,1250,6,47.4056,-121.955,1980,0
20140819,205000,7980,940,7,47.3838,-122.289,1960,0
20141202,400000,9102,1920,7,47.7487,-122.082,1968,0
20141110,1030000,9816,3545,10,47.5534,-122.078,2005,0
20150319,505000,5460,1260,7,47.7355,-122.18,1972,0
20141009,475000,7200,2340,7,47.7206,-122.211,1975,0
20141105,520000,9263,2590,8,47.7691,-122.262,1977,0
20150502,1450000,24920,3970,10,47.7183,-122.258,1977,1999
20141231,333500,9732,1220,7,47.7736,-122.214,1965,0
20150222,232000,10403,1400,6,47.362,-122.029,1976,0
20150421,691100,16117,2360,8,47.5698,-122.121,1983,0
20141014,811000,9897,1870,8,47.5505,-122.221,1960,0
20140520,551000,5802,2830,9,47.7605,-122.234,2001,0
20150108,496500,3640,2260,8,47.7356,-122.157,1994,0
20141126,705000,20978,1970,9,47.3844,-122.438,1980,0
20140612,578000,9225,3140,9,47.4904,-122.226,1966,0
20150128,255000,8659,1240,7,47.3663,-122.089,1986,0
20140626,1050000,7832,3450,10,47.5637,-122.123,2007,0
20150305,348000,8491,2570,8,47.3759,-122.125,1989,0
20141104,230000,3413,1510,7,47.3912,-122.167,1985,0
20141209,359500,11250,2390,9,47.3305,-122.371,1988,0
